establishment_id,establishment_name,mgr_id,zipcode,lat,long,city,state,no_of_rooms
123,Supertel Hurricane,30545,84737,37.08321,-113.26032,Hurricane,UT,194
124,Supertel Adams,4002,41201,38.06201,-82.7576,Adams,KY,256
125,Supertel Selma,14430,52588,40.86325,-92.16315,Selma,IA,86
126,Supertel Rulo,22585,68431,40.0677,-95.43402,Rulo,NE,59
127,Supertel Swayzee,32869,46986,40.49481,-85.81929,Swayzee,IN,53
128,Supertel Whitman,32318,25652,37.78702,-82.04865,Whitman,WV,286
129,Supertel Grassy Creek,34211,28631,36.55218,-81.40994,Grassy Creek,NC,186
130,Supertel Corunna,15436,46730,41.454,-85.15504,Corunna,IN,256
131,Supertel Hamilton,45893,81638,40.30589,-107.64205,Hamilton,CO,290
132,Supertel Saint Clair Shores,34459,48082,42.5271,-82.88711,Saint Clair Shores,MI,67
133,Supertel Ocate,33646,87734,36.17323,-105.09363,Ocate,NM,166
134,Supertel Biddeford,22603,4005,43.49591,-70.49537,Biddeford,ME,259
135,Supertel Mobile,34155,36606,30.67088,-88.10617,Mobile,AL,142
136,Supertel Kiowa,19948,74553,34.70808,-95.91859,Kiowa,OK,164
137,Supertel Ottawa Lake,24092,49267,41.75979,-83.72341,Ottawa Lake,MI,223
138,Supertel Raleigh,21707,27614,35.94739,-78.62059,Raleigh,NC,167
139,Supertel Whitewood,21086,57793,44.51824,-103.581,Whitewood,SD,155
140,Supertel Goree,17483,76363,33.50762,-99.53122,Goree,TX,300
141,Supertel Aaronsburg,37484,16820,40.91995,-77.38702,Aaronsburg,PA,294
142,Supertel Morristown,10803,57645,45.9119,-101.71855,Morristown,SD,63
143,Supertel Marcellus,23008,13108,42.97349,-76.33069,Marcellus,NY,96
144,Supertel Conconully,37200,98819,48.59797,-119.82327,Conconully,WA,37
145,Supertel Moorcroft,22111,82721,44.46199,-104.89808,Moorcroft,WY,112
146,Supertel Pointe Aux Pins,27845,49775,45.76941,-84.46333,Pointe Aux Pins,MI,185
147,Supertel Mora,28388,55051,45.93818,-93.33201,Mora,MN,244
148,Supertel Emmonak,7403,99581,62.82476,-164.68692,Emmonak,AK,167
149,Supertel Kasson,6282,55944,43.98754,-92.73758,Kasson,MN,90
150,Supertel Norcross,23580,30093,33.90879,-84.17839,Norcross,GA,145
151,Supertel Clear Brook,3178,22624,39.26535,-78.09507,Clear Brook,VA,88
152,Supertel Serena,39892,60549,41.4908,-88.74251,Serena,IL,264
153,Supertel Marietta,40346,13110,42.89019,-76.28507,Marietta,NY,169
154,Supertel Allenwood,20533,17810,41.1123,-77.02543,Allenwood,PA,254
155,Supertel Toluca,17894,61369,40.9827,-89.15397,Toluca,IL,212
156,Supertel Crane,17343,79731,31.4477,-102.56095,Crane,TX,206
157,Supertel Duncannon,42373,17020,40.41014,-77.04367,Duncannon,PA,140
158,Supertel Oroville,4643,95965,39.59169,-121.59034,Oroville,CA,235
159,Supertel Sea Isle City,38830,8243,39.15235,-74.69758,Sea Isle City,NJ,59
160,Supertel Itasca,29887,60143,41.97351,-88.02071,Itasca,IL,103
161,Supertel Cropseyville,16914,12052,42.75767,-73.47847,Cropseyville,NY,112
162,Supertel Newport,1185,8345,39.28816,-75.14668,Newport,NJ,212
163,Supertel Hollywood,27656,33021,26.02277,-80.18742,Hollywood,FL,64
164,Supertel Watson,37884,62473,39.01986,-88.56556,Watson,IL,269
165,Supertel Arcadia,34999,73007,35.69001,-97.32009,Arcadia,OK,165
166,Supertel Creston,26186,68631,41.68753,-97.35074,Creston,NE,226
167,Supertel Minneapolis,22658,55419,44.90586,-93.28743,Minneapolis,MN,285
168,Supertel Meriden,20563,82081,41.52319,-104.40653,Meriden,WY,187
169,Supertel Chesterfield,22021,8515,40.1163,-74.64568,Chesterfield,NJ,122
170,Supertel Durham,2381,6422,41.46221,-72.68285,Durham,CT,257
171,Supertel Bloomfield Hills,42845,48302,42.5849,-83.29608,Bloomfield Hills,MI,266
172,Supertel Madison,16836,53719,43.0281,-89.50003,Madison,WI,257
173,Supertel Morven,28929,28119,34.85112,-80.01492,Morven,NC,274
174,Supertel Pittsburgh,41135,15208,40.45387,-79.89883,Pittsburgh,PA,202
175,Supertel East Northport,8705,11731,40.86262,-73.31703,East Northport,NY,105
176,Supertel Sulphur Bluff,40639,75481,33.31751,-95.37485,Sulphur Bluff,TX,291
177,Supertel Monroe,10089,10950,41.31919,-74.19825,Monroe,NY,279
178,Supertel Auburn,20663,26325,39.09749,-80.882,Auburn,WV,85
179,Supertel Winona,21617,67764,38.89135,-101.15041,Winona,KS,33
180,Supertel Greenville,1444,38703,33.47081,-91.04775,Greenville,MS,147
181,Supertel Center Line,41736,48015,42.48055,-83.02743,Center Line,MI,235
182,Supertel Palm City,4051,34990,27.13623,-80.35655,Palm City,FL,211
183,Supertel Manns Harbor,1200,27953,35.79298,-75.8685,Manns Harbor,NC,216
184,Supertel Arlington,33446,22204,38.86076,-77.09894,Arlington,VA,48
185,Supertel Alto,38326,30510,34.44194,-83.58446,Alto,GA,118
186,Supertel Cylinder,14701,50528,43.13717,-94.54023,Cylinder,IA,291
187,Supertel Nordman,3428,83848,48.7067,-116.92766,Nordman,ID,181
188,Supertel East Bernstadt,11969,40729,37.2435,-84.14788,East Bernstadt,KY,262
189,Supertel Greensboro,44089,27408,36.10321,-79.81411,Greensboro,NC,36
190,Supertel New Berlin,34176,53151,42.97467,-88.09845,New Berlin,WI,150
191,Supertel Hurley,42833,65675,36.93101,-93.49245,Hurley,MO,219
192,Supertel Kinsman,805,44428,41.43458,-80.5779,Kinsman,OH,44
193,Supertel Louisville,36044,68037,40.9844,-96.12673,Louisville,NE,65
194,Supertel New York,18493,10001,40.75064,-73.99728,New York,NY,173
195,Supertel Ellsworth,44339,15331,40.10754,-80.02214,Ellsworth,PA,226
196,Supertel South Berwick,10374,3908,43.23838,-70.74795,South Berwick,ME,167
197,Supertel Akron,14937,44320,41.07818,-81.58379,Akron,OH,187
198,Supertel Sandpoint,29597,83864,48.43432,-116.50559,Sandpoint,ID,43
199,Supertel Tallahassee,48212,32310,30.39924,-84.50694,Tallahassee,FL,50
200,Supertel Newtown,38741,6470,41.3943,-73.31918,Newtown,CT,228
201,Supertel Plainfield,45400,6374,41.6798,-71.91441,Plainfield,CT,228
202,Supertel San Diego,30616,92130,32.94763,-117.20586,San Diego,CA,64
203,Supertel Jersey,23531,71651,33.31472,-92.28377,Jersey,AR,130
204,Supertel Mayhill,32144,88339,32.9561,-105.32141,Mayhill,NM,78
205,Supertel McKnightstown,7310,17343,39.86863,-77.32948,McKnightstown,PA,164
206,Supertel Maben,26290,25870,37.63931,-81.3813,Maben,WV,281
207,Supertel Cambridge,29712,2140,42.39332,-71.13342,Cambridge,MA,289
208,Supertel Valley Bend,23149,26293,38.7824,-79.9365,Valley Bend,WV,128
209,Supertel Kirby,10787,43330,40.81349,-83.41935,Kirby,OH,119
210,Supertel Martin,39098,57551,43.18087,-101.70012,Martin,SD,219
211,Supertel New Haven,17050,48050,42.78486,-82.80139,New Haven,MI,108
212,Supertel Plainfield,22608,60544,41.61393,-88.21777,Plainfield,IL,113
213,Supertel Ingalls,32607,46048,39.9543,-85.80755,Ingalls,IN,215
214,Supertel Foreman,38509,71836,33.71297,-94.39584,Foreman,AR,51
215,Supertel San Angelo,21808,76902,31.54439,-100.72459,San Angelo,TX,169
216,Supertel Swanlake,36868,83281,42.31044,-111.95953,Swanlake,ID,207
217,Supertel Stockport,6697,52651,40.85819,-91.81323,Stockport,IA,141
218,Supertel Lane City,45093,77453,29.23303,-96.01802,Lane City,TX,215
219,Supertel Cloutierville,16997,71416,31.53875,-92.89558,Cloutierville,LA,258
220,Supertel Reeds Spring,33978,65737,36.7146,-93.35796,Reeds Spring,MO,190
221,Supertel Manchester,25894,3104,43.00926,-71.4411,Manchester,NH,25
222,Supertel Yorba Linda,29038,92886,33.89517,-117.80154,Yorba Linda,CA,93
223,Supertel Frost,23077,76641,32.03847,-96.78723,Frost,TX,76
224,Supertel Kinzers,32072,17535,40.01224,-76.03813,Kinzers,PA,20
225,Supertel Belvidere,20902,68315,40.24605,-97.53841,Belvidere,NE,212
226,Supertel Beaumont,27450,42124,36.86534,-85.64817,Beaumont,KY,106
227,Supertel River Pines,23408,95675,38.54548,-120.74277,River Pines,CA,40
228,Supertel Marietta,27238,30067,33.93286,-84.46187,Marietta,GA,41
229,Supertel Nelson,22583,56355,45.94007,-95.24031,Nelson,MN,228
230,Supertel Highland,43416,62249,38.75469,-89.66436,Highland,IL,107
231,Supertel Glenpool,33854,74033,35.94711,-96.00636,Glenpool,OK,198
232,Supertel West Memphis,38952,72301,35.13363,-90.17883,West Memphis,AR,175
233,Supertel Cazadero,601,95421,38.58276,-123.18037,Cazadero,CA,135
234,Supertel Oxnard,48645,93035,34.19034,-119.22879,Oxnard,CA,184
235,Supertel Poynor,4980,75782,32.0693,-95.58777,Poynor,TX,210
236,Supertel Berne,43923,12023,42.60656,-74.16573,Berne,NY,220
237,Supertel Edmond,40401,73013,35.62149,-97.49614,Edmond,OK,145
238,Supertel Geneva,35387,60134,41.8784,-88.34189,Geneva,IL,291
239,Supertel Mattawana,48536,17054,40.49746,-77.72764,Mattawana,PA,283
240,Supertel Marble Falls,34161,72648,36.07516,-93.14399,Marble Falls,AR,177
241,Supertel Wallaceton,20305,16876,40.96648,-78.29087,Wallaceton,PA,101
242,Supertel Olyphant,39862,18447,41.5132,-75.61684,Olyphant,PA,296
243,Supertel Dresden,33578,4342,44.07942,-69.73939,Dresden,ME,45
244,Supertel Port Chester,2736,10573,41.01676,-73.67735,Port Chester,NY,77
245,Supertel Satsop,7470,98583,47.00122,-123.4875,Satsop,WA,288
246,Supertel Harrisburg,28131,17109,40.28986,-76.82414,Harrisburg,PA,56
247,Supertel Deland,9025,32724,29.0506,-81.23284,Deland,FL,63
248,Supertel Easton,4726,4740,46.64325,-67.85487,Easton,ME,187
249,Supertel Indianapolis,43023,46237,39.67247,-86.0759,Indianapolis,IN,30
250,Supertel Sinnamahoning,40203,15861,41.3221,-78.07246,Sinnamahoning,PA,203
251,Supertel North Chatham,46805,12132,42.47102,-73.63362,North Chatham,NY,39
252,Supertel Owensboro,28001,42301,37.73983,-87.24643,Owensboro,KY,268
253,Supertel Waco,44095,76798,31.54606,-97.12085,Waco,TX,104
254,Supertel Wellfleet,27,69170,40.79563,-100.74068,Wellfleet,NE,98
255,Supertel Monte Rio,18716,95462,38.47263,-123.02064,Monte Rio,CA,49
256,Supertel Las Vegas,18156,89145,36.16748,-115.27618,Las Vegas,NV,54
257,Supertel Fort Jones,17117,96032,41.58503,-122.98291,Fort Jones,CA,235
258,Supertel Ashtabula,10950,44004,41.85255,-80.78738,Ashtabula,OH,181
259,Supertel North Fork,17388,93643,37.27155,-119.45004,North Fork,CA,172
260,Supertel Hiram,47123,4041,43.86416,-70.82631,Hiram,ME,37
261,Supertel Henry,19700,38231,36.21277,-88.42442,Henry,TN,65
262,Supertel Fort Thomas,28208,85536,33.14063,-110.00331,Fort Thomas,AZ,269
263,Supertel Fort Knox,6393,40121,37.92614,-85.95292,Fort Knox,KY,194
264,Supertel Mcarthur,36801,96056,41.07178,-121.32607,Mcarthur,CA,141
265,Supertel Litchfield,34074,62056,39.1765,-89.67165,Litchfield,IL,227
266,Supertel Healdton,27505,73438,34.27967,-97.49808,Healdton,OK,61
267,Supertel Glenwood,37038,98619,45.97693,-121.26568,Glenwood,WA,72
268,Supertel Granger,24590,76530,30.71357,-97.42434,Granger,TX,22
269,Supertel Earlsboro,774,74840,35.30488,-96.7665,Earlsboro,OK,103
270,Supertel Concord,4600,30206,33.09671,-84.46303,Concord,GA,65
271,Supertel Chatom,34959,36518,31.47082,-88.27546,Chatom,AL,276
272,Supertel Saint Augustine,13946,32084,29.91412,-81.36417,Saint Augustine,FL,179
273,Supertel Aroma Park,33451,60910,41.06426,-87.79991,Aroma Park,IL,101
274,Supertel Hazel,41064,42049,36.51874,-88.31828,Hazel,KY,295
275,Supertel Dunreith,30270,47337,39.80286,-85.43736,Dunreith,IN,196
276,Supertel Booneville,17530,41314,37.44008,-83.63743,Booneville,KY,126
277,Supertel Rhodes,9056,50234,41.89165,-93.17916,Rhodes,IA,252
278,Supertel Adrian,25174,56110,43.62115,-95.94093,Adrian,MN,29
279,Supertel Randolph,43658,14772,42.15383,-78.95086,Randolph,NY,90
280,Supertel Forest Ranch,48891,95942,39.98954,-121.58872,Forest Ranch,CA,110
281,Supertel Fair Oaks,24782,47943,41.0594,-87.28006,Fair Oaks,IN,265
282,Supertel Marshall,24393,62441,39.39392,-87.69795,Marshall,IL,67
283,Supertel Longford,21561,67458,39.16595,-97.30441,Longford,KS,38
284,Supertel Ellisburg,25496,13636,43.74107,-76.12762,Ellisburg,NY,296
285,Supertel De Soto,41361,66018,38.96524,-94.97232,De Soto,KS,67
286,Supertel Milton,25,27305,36.52029,-79.22553,Milton,NC,155
287,Supertel Cass City,45980,48726,43.60776,-83.16833,Cass City,MI,180
288,Supertel Pablo,47618,59855,47.60032,-114.11787,Pablo,MT,292
289,Supertel Westland,36192,48186,42.29481,-83.37461,Westland,MI,288
290,Supertel Palmetto,20546,71358,30.72631,-91.87553,Palmetto,LA,276
291,Supertel Perth Amboy,37336,8861,40.52087,-74.27397,Perth Amboy,NJ,268
292,Supertel Fitzwilliam,16891,3447,42.7592,-72.14794,Fitzwilliam,NH,133
293,Supertel McDonough,35546,13801,42.50327,-75.78028,McDonough,NY,134
294,Supertel Hitterdal,23012,56552,46.9814,-96.21602,Hitterdal,MN,213
295,Supertel Federal Way,1033,98003,47.30596,-122.31465,Federal Way,WA,206
296,Supertel Santa Fe,4883,77517,29.36253,-95.1369,Santa Fe,TX,124
297,Supertel Conroe,12561,77306,30.2799,-95.31337,Conroe,TX,100
298,Supertel Westhoff,42659,77994,29.17977,-97.46563,Westhoff,TX,201
299,Supertel Ann Arbor,48035,48105,42.33117,-83.70587,Ann Arbor,MI,24
300,Supertel Roosevelt,26022,85545,33.53759,-111.11955,Roosevelt,AZ,244
301,Supertel Agoura Hills,39661,91301,34.12314,-118.75685,Agoura Hills,CA,20
302,Supertel Ogden,4825,84408,41.19252,-111.93966,Ogden,UT,102
303,Supertel Mellott,29659,47958,40.16452,-87.14862,Mellott,IN,45
304,Supertel Cambridge,24244,67023,37.33467,-96.61288,Cambridge,KS,289
305,Supertel Harbor Beach,35526,48441,43.80515,-82.71727,Harbor Beach,MI,79
306,Supertel Toledo,16740,43607,41.64761,-83.60582,Toledo,OH,165
307,Supertel Berea,23124,44017,41.36867,-81.86303,Berea,OH,24
308,Supertel Andalusia,24980,36421,31.32769,-86.50903,Andalusia,AL,178
309,Supertel Mosby,49956,59058,46.98517,-107.79652,Mosby,MT,176
310,Supertel Corona,1055,92882,33.86367,-117.59989,Corona,CA,116
311,Supertel Burbank,48463,91501,34.19469,-118.29431,Burbank,CA,106
312,Supertel North Platte,49427,69101,41.1502,-100.80319,North Platte,NE,45
313,Supertel Hepzibah,10386,26369,39.33527,-80.33117,Hepzibah,WV,205
314,Supertel Big Sandy,45672,24816,37.46139,-81.70516,Big Sandy,WV,232
315,Supertel Brooklyn,9281,11208,40.67481,-73.87243,Brooklyn,NY,251
316,Supertel Austin,28298,78749,30.21329,-97.85732,Austin,TX,75
317,Supertel Onaway,9775,49765,45.33379,-84.25229,Onaway,MI,193
318,Supertel Butler,43412,64730,38.25789,-94.29236,Butler,MO,131
319,Supertel Liberty,12741,4949,44.36712,-69.34029,Liberty,ME,32
320,Supertel Anderson,1319,29625,34.55577,-82.76294,Anderson,SC,181
321,Supertel Spring Valley,22464,61362,41.35138,-89.22819,Spring Valley,IL,260
322,Supertel Broadbent,29663,97414,42.96653,-124.15026,Broadbent,OR,229
323,Supertel Charlo,42915,59824,47.41817,-114.20362,Charlo,MT,173
324,Supertel Fayetteville,27274,30214,33.49222,-84.48697,Fayetteville,GA,249
325,Supertel West Lafayette,39346,43845,40.25692,-81.73144,West Lafayette,OH,136
326,Supertel Washburn,18380,65772,36.59624,-94.03479,Washburn,MO,132
327,Supertel Washington,8954,20204,38.88556,-77.01443,Washington,DC,38
328,Supertel Farmington Falls,12942,4940,44.62018,-70.07508,Farmington Falls,ME,166
329,Supertel Kiester,12851,56051,43.53649,-93.70868,Kiester,MN,80
330,Supertel North Myrtle Beach,30606,29582,33.83423,-78.66049,North Myrtle Beach,SC,159
331,Supertel Milford,19817,6461,41.23937,-73.0752,Milford,CT,151
332,Supertel Taylorsville,40597,30178,34.09709,-84.97051,Taylorsville,GA,129
333,Supertel Caruthersville,33693,63830,36.14065,-89.6871,Caruthersville,MO,247
334,Supertel Reeseville,46262,53579,43.2894,-88.87545,Reeseville,WI,223
335,Supertel Buffalo,15254,14261,43.00188,-78.7848,Buffalo,NY,173
336,Supertel Miami Beach,37254,33140,25.81606,-80.13895,Miami Beach,FL,103
337,Supertel Clarksville,32341,45113,39.39991,-83.98561,Clarksville,OH,55
338,Supertel Diamond,44263,44412,41.09671,-81.0229,Diamond,OH,91
339,Supertel Safety Harbor,42306,34695,28.00927,-82.69673,Safety Harbor,FL,34
340,Supertel Muskegon,47323,49443,43.22204,-86.24155,Muskegon,MI,113
341,Supertel Upland,21432,46989,40.45056,-85.48115,Upland,IN,48
342,Supertel Ulysses,37905,16948,41.85369,-77.75683,Ulysses,PA,179
343,Supertel Des Arc,18302,63636,37.29542,-90.57549,Des Arc,MO,174
344,Supertel Henderson,449,48841,43.11372,-84.2392,Henderson,MI,269
345,Supertel Berlin,12857,44610,40.56078,-81.80139,Berlin,OH,81
346,Supertel Hampshire,23812,60140,42.08003,-88.5086,Hampshire,IL,187
347,Supertel Freedom,5191,4941,44.4654,-69.3017,Freedom,ME,122
348,Supertel Venus,25516,16364,41.36379,-79.51517,Venus,PA,238
349,Supertel Johnstown,8844,15909,40.40783,-78.87047,Johnstown,PA,243
350,Supertel Gates Mills,25172,44040,41.53128,-81.4112,Gates Mills,OH,186
